nomenclature,reporter_code,reporter_iso3,reporter_name,product_code,partner_code,partner_iso3,partner_name,year,trade_flow_name,trade_value_in_1000_usd
H5,251,FRA,France+Monac,180631,0,WLD,World,2024,Gross Exports,69863.02935
H5,268,GEO,Georgia,180631,0,WLD,World,2024,Gross Exports,3105.584846
H5,276,DEU,Germany,180631,0,WLD,World,2024,Gross Exports,1522353.524
H5,300,GRC,Greece,180631,0,WLD,World,2024,Gross Exports,10012.92846
H5,320,GTM,Guatemala,180631,0,WLD,World,2024,Gross Exports,311.924
H5,344,HKG,Hong Kong,180631,0,WLD,World,2024,Gross Exports,9421.266127
H5,348,HUN,Hungary,180631,0,WLD,World,2024,Gross Exports,107511.538
H5,352,ISL,Iceland,180631,0,WLD,World,2024,Gross Exports,827.074235
H5,372,IRL,Ireland,180631,0,WLD,World,2024,Gross Exports,42005.11722
H5,376,ISR,Israel,180631,0,WLD,World,2024,Gross Exports,1395
H5,380,ITA,Italy,180631,0,WLD,World,2024,Gross Exports,240952.5036
H5,392,JPN,Japan,180631,0,WLD,World,2024,Gross Exports,28775.0825
H5,410,KOR,Korea Rep.,180631,0,WLD,World,2024,Gross Exports,6436.724
H5,417,KGZ,Kyrgyzstan,180631,0,WLD,World,2024,Gross Exports,9049.139
H5,428,LVA,Latvia,180631,0,WLD,World,2024,Gross Exports,15031.55647
H5,440,LTU,Lithuania,180631,0,WLD,World,2024,Gross Exports,79716.331
H5,442,LUX,Luxemberg,180631,0,WLD,World,2024,Gross Exports,6054.265294
H5,446,MAC,Macau,180631,0,WLD,World,2024,Gross Exports,168.353694
H5,458,MYS,Malaysia,180631,0,WLD,World,2024,Gross Exports,68996.94822
H5,470,MLT,Malta,180631,0,WLD,World,2024,Gross Exports,145.918957
H5,480,MUS,Mauritius,180631,0,WLD,World,2024,Gross Exports,76.528863
H5,484,MEX,Mexico,180631,0,WLD,World,2024,Gross Exports,53080.415
H5,498,MDA,Rep.Moldova,180631,0,WLD,World,2024,Gross Exports,6.733
H5,499,MNT,Montenegro,180631,0,WLD,World,2024,Gross Exports,88.216326
H5,516,NAM,Namibia,180631,0,WLD,World,2024,Gross Exports,14.587397
H5,528,NLD,Netherlands,180631,0,WLD,World,2024,Gross Exports,1215169.033
H5,554,NZL,New Zealand,180631,0,WLD,World,2024,Gross Exports,7541.580216
H5,566,NGA,Nigeria,180631,0,WLD,World,2024,Gross Exports,6389.52328
H5,579,NOR,"Norway,Sb,JM",180631,0,WLD,World,2024,Gross Exports,2560.033696
H5,586,PAK,Pakistan,180631,0,WLD,World,2024,Gross Exports,8.171746
H5,591,PAN,Panama,180631,0,WLD,World,2024,Gross Exports,666.788
H5,600,PRY,Paraguay,180631,0,WLD,World,2024,Gross Exports,1.464
H5,608,PHL,Philippines,180631,0,WLD,World,2024,Gross Exports,84.918
H5,616,POL,Poland,180631,0,WLD,World,2024,Gross Exports,544474.117
H5,620,PRT,Portugal,180631,0,WLD,World,2024,Gross Exports,13049.45563
H5,642,ROM,Romania,180631,0,WLD,World,2024,Gross Exports,51885.91605
H5,699,IND,India,180631,0,WLD,World,2024,Gross Exports,3110.526698
H5,703,SVK,Slovakia,180631,0,WLD,World,2024,Gross Exports,43365.46543
H5,705,SVN,Slovenia,180631,0,WLD,World,2024,Gross Exports,14324.2243
H5,710,ZAF,South Africa,180631,0,WLD,World,2024,Gross Exports,19104.89121
H5,716,ZWE,Zimbabwe,180631,0,WLD,World,2024,Gross Exports,13.236416
H5,724,ESP,Spain,180631,0,WLD,World,2024,Gross Exports,75860.0086
H5,752,SWE,Sweden,180631,0,WLD,World,2024,Gross Exports,114656.0906
H5,757,CHE,Switz.Liecht,180631,0,WLD,World,2024,Gross Exports,52279.93537
H5,764,THA,Thailand,180631,0,WLD,World,2024,Gross Exports,26166.89912
H5,768,TGO,Togo,180631,0,WLD,World,2024,Gross Exports,0.117414
H5,792,TUR,Turkey,180631,0,WLD,World,2024,Gross Exports,168991.02
H5,804,UKR,Ukraine,180631,0,WLD,World,2024,Gross Exports,60595.79471
H5,807,MKD,TFYR Macedna,180631,0,WLD,World,2024,Gross Exports,9865.25646
H5,818,EGY,Egypt,180631,0,WLD,World,2024,Gross Exports,153366.2111
H5,826,GBR,Untd.Kingdom,180631,0,WLD,World,2024,Gross Exports,142643.2291
H5,842,USA,"USA,PR,USVI",180631,0,WLD,World,2024,Gross Exports,189988.89
H5,860,UZB,Uzbekistan,180631,0,WLD,World,2024,Gross Exports,1260.95296
H5,8,ALB,Albania,180632,0,WLD,World,2023,Gross Exports,153.351608
H5,20,AND,Andorra,180632,0,WLD,World,2023,Gross Exports,44.148237
H5,24,AGO,Angola,180632,0,WLD,World,2023,Gross Exports,101.754983
H5,31,AZE,Azerbaijan,180632,0,WLD,World,2023,Gross Exports,5
H5,32,ARG,Argentina,180632,0,WLD,World,2023,Gross Exports,8110.21197
H5,36,AUS,Australia,180632,0,WLD,World,2023,Gross Exports,17800.93013
H5,40,AUT,Austria,180632,0,WLD,World,2023,Gross Exports,245714.1418
H5,48,BHR,Bahrain,180632,0,WLD,World,2023,Gross Exports,986.155973
H5,51,ARM,Armenia,180632,0,WLD,World,2023,Gross Exports,491.04398
H5,52,BRB,Barbados,180632,0,WLD,World,2023,Gross Exports,70.9245
H5,56,BEL,Belgium,180632,0,WLD,World,2023,Gross Exports,306403.411
H5,68,BOL,Bolivia,180632,0,WLD,World,2023,Gross Exports,71.56312
H5,70,BIH,Bosnia Herzg,180632,0,WLD,World,2023,Gross Exports,3867.815097
H5,72,BWA,Botswana,180632,0,WLD,World,2023,Gross Exports,0.062884
H5,76,BRA,Brazil,180632,0,WLD,World,2023,Gross Exports,29314.286
H5,96,BRN,Brunei Darsm,180632,0,WLD,World,2023,Gross Exports,39.655058
H5,97,EUN,European Union,180632,0,WLD,World,2023,Gross Exports,1638961.918
H5,100,BGR,Bulgaria,180632,0,WLD,World,2023,Gross Exports,93654.28064
H5,116,KHM,Cambodia,180632,0,WLD,World,2023,Gross Exports,68.6529
H5,124,CAN,Canada,180632,0,WLD,World,2023,Gross Exports,323003.7043
H5,132,CPV,Cape Verde,180632,0,WLD,World,2023,Gross Exports,10.338409
H5,144,LKA,Sri Lanka,180632,0,WLD,World,2023,Gross Exports,13.034114
H5,152,CHL,Chile,180632,0,WLD,World,2023,Gross Exports,3208.0476
H5,156,CHN,China,180632,0,WLD,World,2023,Gross Exports,35560.954
H5,170,COL,Colombia,180632,0,WLD,World,2023,Gross Exports,21968.10723
H5,188,CRI,Costa Rica,180632,0,WLD,World,2023,Gross Exports,2872.54986
H5,191,HRV,Croatia,180632,0,WLD,World,2023,Gross Exports,87479.651
H5,196,CYP,Cyprus,180632,0,WLD,World,2023,Gross Exports,193.726574
H5,203,CZE,Czech Rep,180632,0,WLD,World,2023,Gross Exports,63087.979
H5,208,DNK,Denmark,180632,0,WLD,World,2023,Gross Exports,23760.75148
H5,214,DOM,Dominican Rp,180632,0,WLD,World,2023,Gross Exports,5594.751608
H5,218,ECU,Ecuador,180632,0,WLD,World,2023,Gross Exports,1495.8749
H5,222,SLV,El Salvador,180632,0,WLD,World,2023,Gross Exports,1887.439
H5,233,EST,Estonia,180632,0,WLD,World,2023,Gross Exports,4957.02236
